refs
id	book	ch_start	vs_start	ch_end	vs_end	title	description	source	status	seq	topic_ids
1	Dan	9	24	9	27	Seventy weeks decreed	Seventy weeks decreed for Israel and Jerusalem; last week is the covenant week.	HFW	Not-Validated		3|4
2	Dan	9	24	9	26	Sixty-nine weeks to Messiah	Seven + sixty-two weeks to Messiah the Prince; after the sixty-two, Messiah is cut off.	HFW	Not-Validated		3
3	Dan	9	25	9	25	Word to restore Jerusalem	From the word to restore Jerusalem to Messiah the Prince: seven weeks and sixty-two weeks.	HFW	Not-Validated		3
4	Dan	9	27	9	27	Covenant for one week	He confirms a covenant with many for one week; in the middle he ends sacrifice.	HFW	Not-Validated		5
5	Dan	8	11	8	14	Daily sacrifice taken away	Daily sacrifice runs until the midpoint, when it is taken away.	HFW	Not-Validated		6
6	Dan	11	31	11	31	Forces profane the sanctuary	Forces take away the daily sacrifice and set up the abomination.	HFW	Not-Validated		6|7
7	Mat	24	15	24	16	Abomination in the holy place	When you see the abomination of desolation standing in the holy place, flee.	HFW	Not-Validated		7
8	Mrk	13	14	13	14	Abomination — Mark	When you see the abomination standing where it ought not, flee to the mountains.	HFW	Not-Validated		7
9	2Th	2	3	2	4	Man of sin in the temple	The day of the Lord is not until the falling away and the man of sin sits as God in the temple.	HFW	Not-Validated		7
10	Mat	24	15	24	22	Great tribulation, shortened	Abomination, flight, unequalled tribulation shortened for the elect.	HFW	Not-Validated		8
11	Mrk	13	19	13	20	Unequalled tribulation — Mark	Tribulation such as has not been; days shortened for the elect.	HFW	Not-Validated		8
12	Mat	24	9	24	14	Hated by all nations	Persecution, falling away, false prophets, gospel preached to nations, then the end.	HFW	Not-Validated		8
13	Rev	13	1	13	8	Beast authority forty-two months	The beast is given authority forty-two months, blasphemes God, makes war with the saints.	HFW	Not-Validated		8
14	Rev	13	11	13	18	Second beast and the mark	The second beast enforces worship of the first and the mark.	HFW	Not-Validated		8
15	Dan	7	21	7	25	Little horn prevails	The little horn prevails against the saints for a time, times and half a time.	HFW	Validated		8
16	Dan	12	1	12	1	Time of trouble	A time of trouble such as never was; Michael stands up; your people delivered.	HFW	Not-Validated		8
17	Dan	12	7	12	7	Time, times and half a time	It shall be for 3½ years; when the power of the holy people is shattered.	HFW	Not-Validated		8
