topics-HFW
Status: Not-Validated

id	level	seq	pre	post	kind	title	duration	notes
1	1	10			period	The Day of Yahweh	The Day of Yahweh	
2	2	20		10	period	Daniel's 70 Weeks		
3	3	30		4	period	Daniel's 69 weeks		
4	3	40	3	11	period	Daniel's 70th week	7 Years	
5	4	50		6	period	Beast making a strong Covenant		
6	4	60	5	7	period	3.5 years — Sacrifices and Offerings at the Temple		
7	4	70	6	8	event	After 3.5 years — Tribulation of Desolation		
8	4	80	7	10	period	3.5 years — Great Tribulation in Judea and beyond	3½ years	
9	4	90	7	10	period	3.5 years — God's wrath falls on His enemies	Leading up to the end of the 7 years	
10	2	100	2	16	period	The Messiah returns and judges	after 7 years	
11	3	110	2	12	event	Messiah is declared worthy		
12	3	120	11	13	event	Messiah returns with Saints and Angels		
30	4	130	12		event	Resurrection of Israel		
31	4	140	30		period	Resurrection of Gentiles		
13	3	150	12	14	event	Armageddon — enemies judged		
32	3	160	15		period	The land of Israel is cleansed	7 months	
14	3	170	13	15	period	Israel and Judah gathered into Israel		
15	3	180		16	event	New Covenant made with Israel		
17	3	190	13	14	event	Satan bound — saints reign with Messiah		
16	2	200	15|10	21	period	1,000 Year Reign		
18	3	210	17	19	period	Israel restored in the land		
28	3	220	15	19	period	Israel rebuilds and flourishes		
19	3	230	18	20	period	Nations learn from Jerusalem and flourish		
29	3	240	19		period	Some nations refuse to worship Yahweh		
20	3	250	19	21	period	Satan released — final rebellion		
21	2	260	16	24	event	Great White Throne Judgement		
22	3	270		23	event	Dead judged from the books		
23	3	280	22	24	event	Messiah delivers the Kingdom to the Father		
24	2	290	21		period	Eternity		
25	3	300		26	period	New Heaven and New Earth		
26	3	310	25	27	event	New Jerusalem — Yahweh dwells with mankind		
27	3	320	26		period	Servants see His face and reign forever		
