topics-HFW — 2026-08-15-2230
Status: Not-Validated
Root id is always 1 (The Day of Yahweh). Children are 2a, 2a-3b, 2a-3b-4e.
Pre / Post: pick from the list. Same-branch parent/child is warned.


id	level	pre	post	kind	title	notes
1	1			period	The Day of Yahweh	
2a	2		2b	period	Daniel's 70 Weeks	
2a-3a	3		2a-3b	period	Daniel's 69 weeks	
2a-3b	3	2a-3a		period	Daniel's 70th week	
2a-3b-4a	4		2a-3b-4b	event	Beast making a strong Covenant	
2a-3b-4b	4	2a-3b-4a	2a-3b-4d	period	3.5 years — Sacrifices and Offerings at the Temple	
2a-3b-4d	4	2a-3b-4b	2a-3b-4e	event	after 3.5 years — Tribulation of Desolation in Holy Place	
2a-3b-4e	4	2a-3b-4d	2b	period	3.5 years — Great Tribulation in Judea and beyond	
2a-3b-4f	4	2a-3b-4d	2b	period	3.5 years — God's wrath falls on His enemies	
2b	2	2a	2c	event	after 7 years — The Messiah returns and Judges	
2b-3a	3	2a	2b-3b	event	Messiah is declared worthy	
2b-3b	3	2b-3a	2b-3c	event	Messiah returns with Saints and Angels	
2b-3c	3	2b-3b	2b-3d	event	Armageddon — enemies judged	
2b-3d	3	2b-3c	2b-3e	event	Israel and Judah gathered into Israel	
2b-3e	3	2b-3d	2c	event	New Covenant with Israel	
2c	2	2b-3e|2b	2d	period	1,000 Year Reign	
2c-3a	3	2b-3c	2b-3d	period	Satan bound — saints reign with Messiah	
2c-3b	3	2c-3a	2c-3c	period	Israel restored in the land	
2c-3c	3	2c-3b	2c-3d	period	Nations taught from Jerusalem	
2c-3d	3	2c-3c	2d	period	Satan released — final rebellion	
2d	2	2c	2e	event	Great White Throne Judgement	
2d-3a	3		2d-3b	event	Dead judged from the books	
2d-3b	3	2d-3a	2e	event	Messiah delivers the Kingdom to the Father	
2e	2	2d		period	Eternity	
2e-3a	3		2e-3b	period	New Heaven and New Earth	
2e-3b	3	2e-3a	2e-3c	event	New Jerusalem — Yahweh dwells with mankind	
2e-3c	3	2e-3b		period	Servants see His face and reign forever	
