topics-HFW — 2026-08-15-2230
Status: Not-Validated
Root id is always 1 (The Day of Yahweh). Children are 2a, 2a-3b, 2a-3b-4e.
Pre / Post: pick from the list. Same-branch parent/child is warned.



id	level	seq	pre	post	kind	title	duration	notes
1	1	10			period	The Day of Yahweh		
2	2	20		10	period	Daniel's 70 Weeks		
3	3	30		4	period	Daniel's 69 weeks		
4	3	40	3	11	period	Daniel's 70th week	7 Years	
5	4	50		6	event	Beast making a strong Covenant		
6	4	60	5	7	period	3.5 years — Sacrifices and Offerings at the Temple		
7	4	70	6	8	event	after 3.5 years — Tribulation of Desolation in Holy Place		
9	4	80	7	10	period	3.5 years — God's wrath falls on His enemies		
8	4	90	7	10	period	3.5 years — Great Tribulation in Judea and beyond		
11	3	100	2	12	event	Messiah is declared worthy		
12	3	110	11	13	event	Messiah returns with Saints and Angels		
13	3	120	12	14	event	Armageddon — enemies judged		
17	3	130	13	14	period	Satan bound — saints reign with Messiah		
18	3	140	17	19	period	Israel restored in the land		
15	3	150		16	event	New Covenant with Israel		
28	3	160	15	19	period	Israel rebuilds and flourishes		
19	3	170	18	20	period	Nations learn from Jerusalem and flourish		
29	3	180	19		period	Some nations refuse to worship Yahweh		
20	3	190	19	21	period	Satan released — final rebellion		
14	3	200	13	15	event	Israel and Judah gathered into Israel		
16	2	210	15|10	21	period	1,000 Year Reign		
21	2	220	16	24	event	Great White Throne Judgement		
22	3	230		23	event	Dead judged from the books		
23	3	240	22	24	event	Messiah delivers the Kingdom to the Father		
24	2	250	21		period	Eternity		
25	3	260		26	period	New Heaven and New Earth		
26	3	270	25	27	event	New Jerusalem — Yahweh dwells with mankind		
27	3	280	26		period	Servants see His face and reign forever		
10	2	290	2	16	event	after 7 years — The Messiah returns and Judges		
